Industry,Stage,Laid_Off_Count,Funds_Raised
Consumer,Series C,33,133
Consumer,Series H,37,995
Consumer,Post-IPO,140,719
Consumer,Post-IPO,980,2
Consumer,Post-IPO,80,557
Consumer,Acquired,129,290
Consumer,Post-IPO,12115,26
Consumer,Acquired,55,1
Consumer,Post-IPO,10000,26000
Consumer,Series B,60,36
Consumer,Post-IPO,150,1500
Consumer,Series F,90,1300
Consumer,Acquired,46,21
Consumer,Post-IPO,30,857
Consumer,Post-IPO,190,4900
Consumer,Post-IPO,130,455.2
Consumer,Post-IPO,240,12900
Consumer,Acquired,1600,6
Consumer,Acquired,85,30
Crypto,Series D,75,487
Crypto,Series B,30,205
Crypto,Series B,900,84
Crypto,Series A,30,138
Crypto,Series F,194,536
Crypto,Series D,26,70
Crypto,Series A,19,101
Crypto,Post-IPO,950,549
Crypto,Series A,17,18
Crypto,Series D,100,726
Crypto,Series E,30,1000
Crypto,Series B,22,170
Crypto,Series B,16,149
Data,Post-IPO,320,613
Data,Post-IPO,99,311
Data,Series C,176,282
Data,Series C,22,64
Data,Post-IPO,221,455
Data,Post-IPO,84,272
Data,Post-IPO,170,409
Data,Post-IPO,75,3000
Data,Acquired,275,17
Data,Series B,90,150
Data,Series F,100,274
Data,Series B,40,55
Data,Post-IPO,825,2400
Data,Acquired,79,340
Data,Acquired,200,500
Data,Series E,60,569
Education,Series A,38,1500
Education,Series B,22,51
Education,Post-IPO,80,227
Education,Series C,42,477
Education,Series F,172,643
Education,Series E,79,461
Education,Acquired,29,8
Finance,Series F,20,491
Finance,Post-IPO,500,1500
Finance,Series B,67,111
Finance,Series F,28,435
Finance,Post-IPO,95,220
Finance,Post-IPO,490,665
Finance,Series E,50,1300
Finance,Series B,15,37
Finance,Series C,186,229
Finance,Series H,80,537
Finance,Series H,100,468
Finance,Series C,115,302
Finance,Series D,81,304
Finance,Series B,28,123
Finance,Series C,75,85
Finance,Series B,24,85
Finance,Series D,50,406
Finance,Post-IPO,100,53
Finance,Seed,5,11
Finance,Series D,104,556
Finance,Series E,48,339
Finance,Post-IPO,120,1300
Finance,Private Equity,80,54
Finance,Series A,15,16
Finance,Post-IPO,45,481
Finance,Post-IPO,397,392
Finance,Series A,19,24
Finance,Series E,71,1700
Finance,Post-IPO,340,666
Finance,Post-IPO,2000,216
Finance,Series D,63,621
Finance,Series D,185,272
Finance,Post-IPO,150,5600
Finance,Series E,104,646
Finance,Series D,24,263
Finance,Series B,86,50
Finance,Series B,30,79
Finance,Series F,123,565
Finance,Series B,26,67
Finance,Post-IPO,365,144
Finance,Series E,97,992
Finance,Post-IPO,100,1100
Fitness,Series D,30,269
Fitness,Acquired,120,75
Fitness,Post-IPO,11,1900
Fitness,Series C,80,619
Food,Post-IPO,65,122
Food,Series E,100,1800
Food,Series H,100,3400
Food,Acquired,400,284
Food,Series H,140,1900
Food,Series C,649,526
Food,Post-IPO,81,184
Food,Series D,134,711
Hardware,Post-IPO,794,12
Hardware,Post-IPO,440,39
Hardware,Post-IPO,7200,50
Hardware,Series F,130,365
Hardware,Post-IPO,211,900
Healthcare,Post-IPO,146,1100
Healthcare,Post-IPO,30,238
Healthcare,Post-IPO,46,301
Healthcare,Series E,31,168
Healthcare,Series D,120,464
Healthcare,Series D,314,522
Healthcare,Series A,100,51
Healthcare,Series C,285,462
Healthcare,Series D,155,891
Healthcare,Series F,54,719
Healthcare,Series E,300,482
